epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2854.27,1.10798,0.80864,1.0772,0.60468,0.52318,0.51076,0.32877,0.9924,0.76739,1.14799,0.0083764,0.0083764,0.0083764
43,2921.77,1.11076,0.79089,1.07571,0.59732,0.51041,0.50711,0.32493,1.03086,0.75571,1.17725,0.0083368,0.0083368,0.0083368
44,2989.01,1.09631,0.78057,1.07052,0.55006,0.51694,0.49958,0.32272,0.998,0.77882,1.15588,0.0082972,0.0082972,0.0082972
45,3056.45,1.09896,0.79601,1.07243,0.61689,0.4943,0.50613,0.33138,0.98288,0.74692,1.15448,0.0082576,0.0082576,0.0082576
46,3123.87,1.09594,0.77863,1.0666,0.59136,0.49616,0.50341,0.31794,1.04066,0.75904,1.18925,0.008218,0.008218,0.008218
47,3191.11,1.09436,0.78082,1.06546,0.63372,0.49204,0.51773,0.32969,1.03683,0.74231,1.19205,0.0081784,0.0081784,0.0081784
48,3258.55,1.08464,0.77048,1.06097,0.58777,0.49821,0.50481,0.32264,1.02568,0.76719,1.19514,0.0081388,0.0081388,0.0081388
49,3325.84,1.07029,0.75886,1.05598,0.58298,0.51173,0.50234,0.32426,1.00538,0.76111,1.15641,0.0080992,0.0080992,0.0080992
50,3393.15,1.08006,0.7631,1.05929,0.57025,0.51672,0.4978,0.32181,1.00882,0.77707,1.16683,0.0080596,0.0080596,0.0080596
51,3460.64,1.07838,0.75428,1.05331,0.62206,0.53012,0.52908,0.33745,0.99365,0.73025,1.16652,0.00802,0.00802,0.00802
52,3527.93,1.06907,0.74399,1.04939,0.6173,0.51048,0.5214,0.33488,0.99446,0.7229,1.16181,0.0079804,0.0079804,0.0079804
53,3595.31,1.05396,0.73817,1.05704,0.59707,0.51478,0.50446,0.32592,1.0131,0.76522,1.16563,0.0079408,0.0079408,0.0079408
54,3662.57,1.05495,0.73197,1.04722,0.62647,0.50656,0.51065,0.33429,0.98318,0.74293,1.15632,0.0079012,0.0079012,0.0079012
55,3729.73,1.04898,0.73681,1.04708,0.61093,0.50716,0.51444,0.33221,0.97868,0.74996,1.15677,0.0078616,0.0078616,0.0078616
56,3797.08,1.05372,0.73438,1.04642,0.59473,0.51539,0.51538,0.33251,0.97734,0.74194,1.15545,0.007822,0.007822,0.007822
57,3864.3,1.06439,0.73593,1.0429,0.5837,0.53359,0.52629,0.33764,0.97605,0.72952,1.13986,0.0077824,0.0077824,0.0077824
58,3931.64,1.04496,0.73053,1.04632,0.60447,0.51043,0.51376,0.33089,0.98487,0.71701,1.16969,0.0077428,0.0077428,0.0077428
59,3999.12,1.04004,0.72081,1.03966,0.62854,0.51026,0.51859,0.33776,0.98491,0.72819,1.15485,0.0077032,0.0077032,0.0077032
60,4066.46,1.04364,0.71897,1.04021,0.59505,0.5369,0.52761,0.34053,0.97506,0.67711,1.15541,0.0076636,0.0076636,0.0076636
61,4133.92,1.03827,0.71358,1.0327,0.59948,0.52847,0.53008,0.34255,0.97171,0.72477,1.15104,0.007624,0.007624,0.007624
62,4201.32,1.02732,0.70365,1.03034,0.58313,0.52066,0.51654,0.33888,0.99379,0.70022,1.16314,0.0075844,0.0075844,0.0075844
63,4268.56,1.03045,0.69775,1.03609,0.61396,0.53909,0.53381,0.34885,0.99151,0.70611,1.16098,0.0075448,0.0075448,0.0075448
64,4336.44,1.01274,0.69577,1.03554,0.63627,0.52232,0.53132,0.3411,1.00848,0.72935,1.18588,0.0075052,0.0075052,0.0075052
